url,time_control,rated,time_class,rules,opponent_country,opponent_rating,result,player_rating,player_color,archive_url,opponent_username,player_username,date,result_category,rating_difference,result_numeric,opponent_country_mapped,rating_diff_bin,day_of_week,opponent_strength,rating_bin,week,weekday
https://www.chess.com/game/live/30043184687,60+1,True,bullet,chess,India,1032,timeout,941,white,/player/yedfa/games/2021/11,srivathsar,Yedfa,2021-11-01,loss,-91,0.0,India,-100 to -50,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30043209847,60+1,True,bullet,chess,Australia,981,timeout,940,white,/player/yedfa/games/2021/11,warren786786,Yedfa,2021-11-01,loss,-41,0.0,Australia,-50 to 0,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30043723533,60+1,True,bullet,chess,Brazil,952,checkmated,940,black,/player/yedfa/games/2021/11,4Acelino,Yedfa,2021-11-01,loss,-12,0.0,Brazil,-50 to 0,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30043782249,60+1,True,bullet,chess,Georgia,959,checkmated,937,black,/player/yedfa/games/2021/11,IrakliCheishvili,Yedfa,2021-11-01,loss,-22,0.0,Georgia,-50 to 0,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30043825419,60+1,True,bullet,chess,Poland,1142,win,1149,white,/player/yedfa/games/2021/11,woj14,Yedfa,2021-11-01,win,7,1.0,Poland,0 to 50,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30044329185,60+1,True,bullet,chess,Mexico,648,win,945,black,/player/yedfa/games/2021/11,VonOriol,Yedfa,2021-11-01,win,297,1.0,Mexico,>200,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30044377541,180+2,True,blitz,chess,Slovakia,914,win,948,white,/player/yedfa/games/2021/11,OLASAKY,Yedfa,2021-11-01,win,34,1.0,Slovakia,0 to 50,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30044924017,180+2,True,blitz,chess,Belgium,873,win,947,black,/player/yedfa/games/2021/11,jorboe,Yedfa,2021-11-01,win,74,1.0,Belgium,50 to 100,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30045526555,180+2,False,blitz,chess,Brazil,1060,win,1156,black,/player/yedfa/games/2021/11,dantunes_99,Yedfa,2021-11-01,win,96,1.0,Brazil,50 to 100,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30045633173,180+2,False,blitz,chess,Italy,1176,checkmated,1150,black,/player/yedfa/games/2021/11,memme0,Yedfa,2021-11-01,loss,-26,0.0,Italy,-50 to 0,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30098909321,180+2,True,blitz,chess,India,1162,win,1171,white,/player/yedfa/games/2021/11,kushagra20,Yedfa,2021-11-01,win,9,1.0,India,0 to 50,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30098920059,180+2,True,blitz,chess,France,752,win,1149,black,/player/yedfa/games/2021/11,OrBaNane,Yedfa,2021-11-01,win,397,1.0,France,>200,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30148153195,180+2,True,blitz,chess,France,752,win,1149,white,/player/yedfa/games/2021/11,OrBaNane,Yedfa,2021-11-01,win,397,1.0,France,>200,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30148729573,180+2,True,blitz,chess,India,1175,stalemate,1158,black,/player/yedfa/games/2021/11,Kaushal06,Yedfa,2021-11-01,draw,-17,0.5,India,-50 to 0,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30149286017,180+2,True,blitz,chess,United States,1164,win,1166,white,/player/yedfa/games/2021/11,paan1,Yedfa,2021-11-01,win,2,1.0,United States,0 to 50,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30327505925,180+2,True,blitz,chess,United States,1160,timeout,1158,white,/player/yedfa/games/2021/11,sjblacklab,Yedfa,2021-11-01,loss,-2,0.0,United States,-50 to 0,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30489014321,180+2,True,blitz,chess,Canada,1121,win,1163,white,/player/yedfa/games/2021/11,Batman160,Yedfa,2021-11-01,win,42,1.0,Canada,0 to 50,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30489543161,180+2,True,blitz,chess,India,1205,win,1158,black,/player/yedfa/games/2021/11,Oraterthesir,Yedfa,2021-11-01,win,-47,1.0,India,-50 to 0,Monday,1200-1400,<1200,44,0
https://www.chess.com/game/live/30490133485,180+2,True,blitz,chess,Belgium,978,win,979,black,/player/yedfa/games/2021/11,martijnthonnon,Yedfa,2021-11-01,win,1,1.0,Belgium,0 to 50,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30490190593,180+2,True,blitz,chess,United States,1208,win,1187,white,/player/yedfa/games/2021/11,nstodd,Yedfa,2021-11-01,win,-21,1.0,United States,-50 to 0,Monday,1200-1400,<1200,44,0
https://www.chess.com/game/live/30490746617,180+2,True,blitz,chess,United Kingdom,884,win,957,white,/player/yedfa/games/2021/11,bigd0000,Yedfa,2021-11-01,win,73,1.0,United Kingdom,50 to 100,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30491325789,60+1,True,bullet,chess,Costa Rica,866,win,971,black,/player/yedfa/games/2021/11,ivanram,Yedfa,2021-11-01,win,105,1.0,Costa Rica,100 to 200,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30491371353,60+1,True,bullet,chess,United States,867,timeout,941,black,/player/yedfa/games/2021/11,M3nt4t,Yedfa,2021-11-01,loss,74,0.0,United States,50 to 100,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30491400211,60+1,True,bullet,chess,Germany,964,win,950,black,/player/yedfa/games/2021/11,LAKS8594,Yedfa,2021-11-01,win,-14,1.0,Germany,-50 to 0,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30491907507,60+1,True,bullet,chess,Spain,961,win,965,white,/player/yedfa/games/2021/11,Rykaax,Yedfa,2021-11-01,win,4,1.0,Spain,0 to 50,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30491953869,60+1,True,bullet,chess,Colombia,1226,timeout,1180,black,/player/yedfa/games/2021/11,GE0POKER,Yedfa,2021-11-01,loss,-46,0.0,Colombia,-50 to 0,Monday,1200-1400,<1200,44,0
https://www.chess.com/game/live/30491991121,60+1,True,bullet,chess,United States,1119,win,1178,white,/player/yedfa/games/2021/11,milkloaff,Yedfa,2021-11-01,win,59,1.0,United States,50 to 100,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30492028607,60+1,True,bullet,chess,France,1033,win,951,black,/player/yedfa/games/2021/11,Ygnvi-Freyr,Yedfa,2021-11-01,win,-82,1.0,France,-100 to -50,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30492553389,60+1,True,bullet,chess,Italy,968,win,1000,white,/player/yedfa/games/2021/11,toni645,Yedfa,2021-11-01,win,32,1.0,Italy,0 to 50,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30492583449,60+1,True,bullet,chess,United States,1091,win,992,black,/player/yedfa/games/2021/11,pipe_lines,Yedfa,2021-11-01,win,-99,1.0,United States,-100 to -50,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30492627873,60+1,True,bullet,chess,International,975,win,988,white,/player/yedfa/games/2021/11,rogerpintoaa,Yedfa,2021-11-01,win,13,1.0,International,0 to 50,Monday,<1000,<1200,44,0
https://www.chess.com/game/live/30493147433,60+1,True,bullet,chess,India,1218,checkmated,1173,black,/player/yedfa/games/2021/11,deathcruiser12,Yedfa,2021-11-01,loss,-45,0.0,India,-50 to 0,Monday,1200-1400,<1200,44,0
https://www.chess.com/game/live/30499757759,600,False,rapid,chess,United States,2291,checkmated,1180,white,/player/yedfa/games/2021/11,PlanetChessClub,Yedfa,2021-11-01,loss,-1111,0.0,United States,<-200,Monday,2000+,<1200,44,0
https://www.chess.com/game/live/30500966837,180+2,False,blitz,chess,United States,2170,resigned,1292,white,/player/yedfa/games/2021/11,PlanetChessClub,Yedfa,2021-11-01,loss,-878,0.0,United States,<-200,Monday,2000+,1200-1400,44,0
https://www.chess.com/game/live/30567519803,180+2,True,blitz,chess,France,1969,win,1278,white,/player/yedfa/games/2021/11,Beubeu55,Yedfa,2021-11-01,win,-691,1.0,France,<-200,Monday,1800-2000,1200-1400,44,0
https://www.chess.com/game/live/30567625065,180+2,True,blitz,chess,Russia,1040,timeout,981,white,/player/yedfa/games/2021/11,mister0710,Yedfa,2021-11-01,loss,-59,0.0,Russia,-100 to -50,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30569974245,3600,True,rapid,chess,France,1161,timeout,1278,black,/player/yedfa/games/2021/11,adamsamassy,Yedfa,2021-11-01,loss,117,0.0,France,100 to 200,Monday,1000-1200,1200-1400,44,0
https://www.chess.com/game/live/30583179301,600+5,False,rapid,chess,Brazil,1128,win,1180,black,/player/yedfa/games/2021/11,Jailtoncrow,Yedfa,2021-11-01,win,52,1.0,Brazil,50 to 100,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30648036203,180+2,True,blitz,chess,United States,1210,win,1197,white,/player/yedfa/games/2021/11,zack929bb,Yedfa,2021-11-01,win,-13,1.0,United States,-50 to 0,Monday,1200-1400,<1200,44,0
https://www.chess.com/game/live/30655732989,180+2,True,blitz,chess,Türkiye,1160,win,1211,black,/player/yedfa/games/2021/11,eroo19,Yedfa,2021-11-01,win,51,1.0,Türkiye,50 to 100,Monday,1000-1200,1200-1400,44,0
https://www.chess.com/game/live/30659915307,180+2,True,blitz,chess,India,1183,win,1181,white,/player/yedfa/games/2021/11,kan0123,Yedfa,2021-11-01,win,-2,1.0,India,-50 to 0,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30660026747,180+2,True,blitz,chess,United States,1224,win,1213,black,/player/yedfa/games/2021/11,SuperSheikah,Yedfa,2021-11-01,win,-11,1.0,United States,-50 to 0,Monday,1200-1400,1200-1400,44,0
https://www.chess.com/game/live/30660596221,180+2,True,blitz,chess,Türkiye,1150,win,1181,black,/player/yedfa/games/2021/11,Adnan_Celik,Yedfa,2021-11-01,win,31,1.0,Türkiye,0 to 50,Monday,1000-1200,<1200,44,0
https://www.chess.com/game/live/30660613743,180+2,True,blitz,chess,Norway,1262,timeout,1204,white,/player/yedfa/games/2021/11,DronningTilD7,Yedfa,2021-11-01,loss,-58,0.0,Norway,-100 to -50,Monday,1200-1400,1200-1400,44,0
