name,pgn,uci,epd,result
Pawnik Attack,1. b4 e6 2. e3 Bxb4 3. Bc4,b2b4 e7e6 e2e3 f8b4 f1c4,rnbqk1nr/pppp1ppp/4p3/8/1bB5/4P3/P1PP1PPP/RNBQK1NR b - -,
Andryushkov Attack,1. b4 e6 2. e3 Bxb4 3. Bb5,b2b4 e7e6 e2e3 f8b4 f1b5,rnbqk1nr/pppp1ppp/4p3/1B6/1b6/4P3/P1PP1PPP/RNBQK1NR b - -,0-1
Wing Attack,1. b4 e6 2. e3 Bxb4 3. a4,b2b4 e7e6 e2e3 f8b4 a2a4,rnbqk1nr/pppp1ppp/4p3/8/Pb6/4P3/2PP1PPP/RNBQKBNR b - -,
Bozick Attack,1. b4 e6 2. e3 Bxb4 3. Bd3,b2b4 e7e6 e2e3 f8b4 f1d3,rnbqk1nr/pppp1ppp/4p3/8/1b6/3BP3/P1PP1PPP/RNBQK1NR b - -,
Andrejić's Proof,1. e3 c5 2. Ba6 Nxa6 3. d4,e2e3 c7c5 f1a6 b8a6 d2d4,r1bqkbnr/pp1ppppp/n7/2p5/3P4/4P3/PPP2PPP/RNBQK1NR b - -,0-1
Classical Polish Pawn Defence,1. e3 c5 2. Ba6 Nxa6 3. e4,e2e3 c7c5 f1a6 b8a6 e3e4,r1bqkbnr/pp1ppppp/n7/2p5/4P3/8/PPPP1PPP/RNBQK1NR b - -,
Oğul System,1. e3 c5 2. Ba6 Nxa6 3. Ne2,e2e3 c7c5 f1a6 b8a6 g1e2,r1bqkbnr/pp1ppppp/n7/2p5/8/4P3/PPPPNPPP/RNBQK2R b - -,
Geneva Attack,1. e3 b6 2. Ba6 Nxa6 3. Qg4,e2e3 b7b6 f1a6 b8a6 d1g4,r1bqkbnr/p1pppppp/np6/8/6Q1/4P3/PPPP1PPP/RNB1K1NR b - -,
Serbian Attack,1. e3 b6 2. Ba6 Nxa6 3. Qe2,e2e3 b7b6 f1a6 b8a6 d1e2,r1bqkbnr/p1pppppp/np6/8/8/4P3/PPPPQPPP/RNB1K1NR b - -,
Queen Attack Improved,1. e3 b6 2. Ba6 Nxa6 3. Qh5,e2e3 b7b6 f1a6 b8a6 d1h5,r1bqkbnr/p1pppppp/np6/7Q/8/4P3/PPPP1PPP/RNB1K1NR b - -,
Classical Wing System,1. e3 b6 2. a4 b5 3. Bxb5,e2e3 b7b6 a2a4 b6b5 f1b5,rnbqkbnr/p1pppppp/8/1B6/P7/4P3/1PPP1PPP/RNBQK1NR b - -,1-0
Classical Wing System,1. a4 b6 2. e3 b5 3. Bxb5,a2a4 b7b6 e2e3 b6b5 f1b5,rnbqkbnr/p1pppppp/8/1B6/P7/4P3/1PPP1PPP/RNBQK1NR b - -,1-0
Geerlings Defence,1. e3 b5 2. Bxb5 Ba6 3. Bxd7 Qxd7,e2e3 b7b5 f1b5 c8a6 b5d7 d8d7,rn2kbnr/p1pqpppp/b7/8/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Bishop Defence,1. e3 b5 2. Bxb5 Ba6 3. Bxd7 Nxd7,e2e3 b7b5 f1b5 c8a6 b5d7 b8d7,r2qkbnr/p1pnpppp/b7/8/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Mega Bot Defence,1. e3 b5 2. Bxb5 Nh6 3. Bxd7 Kxd7,e2e3 b7b5 f1b5 g8h6 b5d7 e8d7,rnbq1b1r/p1pkpppp/7n/8/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Nagorko Defence,1. e3 b5 2. Bxb5 Nh6 3. Bxd7 Bxd7,e2e3 b7b5 f1b5 g8h6 b5d7 c8d7,rn1qkb1r/p1pbpppp/7n/8/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Two Knights Defence,1. e3 b5 2. Bxb5 Nh6 3. Bxd7 Nxd7,e2e3 b7b5 f1b5 g8h6 b5d7 b8d7,r1bqkb1r/p1pnpppp/7n/8/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Mexican Defence,1. e3 b5 2. Bxb5 e6 3. Bxd7 Nxd7,e2e3 b7b5 f1b5 e7e6 b5d7 b8d7,r1bqkbnr/p1pn1ppp/4p3/8/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Andrejić's Proof,1. e3 e6 2. b4 Bxb4 3. Bb5 Bxd2,e2e3 e7e6 b2b4 f8b4 f1b5 b4d2,rnbqk1nr/pppp1ppp/4p3/1B6/8/4P3/P1Pb1PPP/RNBQK1NR w - -,0-1
Andrejić's Proof,1. b4 e6 2. e3 Bxb4 3. Bb5 Bxd2,b2b4 e7e6 e2e3 f8b4 f1b5 b4d2,rnbqk1nr/pppp1ppp/4p3/1B6/8/4P3/P1Pb1PPP/RNBQK1NR w - -,0-1
Jarosz Defence,1. e3 c5 2. Ba6 Nxa6 3. Ne2 Qb6,e2e3 c7c5 f1a6 b8a6 g1e2 d8b6,r1b1kbnr/pp1ppppp/nq6/2p5/8/4P3/PPPPNPPP/RNBQK2R w - -,
Laine Defence,1. e3 c5 2. Ba6 Nxa6 3. Ne2 Nb4,e2e3 c7c5 f1a6 b8a6 g1e2 a6b4,r1bqkbnr/pp1ppppp/8/2p5/1n6/4P3/PPPPNPPP/RNBQK2R w - -,
Old Polish Defence,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4,r1bqkbnr/pp1ppppp/n7/8/1p6/4P3/P1PP1PPP/RNBQK1NR w - -,
Old Polish Defence,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6,r1bqkbnr/pp1ppppp/n7/8/1p6/4P3/P1PP1PPP/RNBQK1NR w - -,
Wortel Defence,1. e3 c5 2. Bb5 e6 3. Bxd7 Bxd7,e2e3 c7c5 f1b5 e7e6 b5d7 c8d7,rn1qkbnr/pp1b1ppp/4p3/2p5/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Esko Defence,1. e3 c5 2. Bb5 e6 3. Bxd7 Kxd7,e2e3 c7c5 f1b5 e7e6 b5d7 e8d7,rnbq1bnr/pp1k1ppp/4p3/2p5/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Dutch Game,1. e3 b6 2. Ba6 Nxa6 3. Qe2 Nc5,e2e3 b7b6 f1a6 b8a6 d1e2 a6c5,r1bqkbnr/p1pppppp/1p6/2n5/8/4P3/PPPPQPPP/RNB1K1NR w - -,
Retreat Defence,1. e3 b6 2. Ba6 Nxa6 3. Qh5 Nb8,e2e3 b7b6 f1a6 b8a6 d1h5 a6b8,rnbqkbnr/p1pppppp/1p6/7Q/8/4P3/PPPP1PPP/RNB1K1NR w - -,1-0
Dragon-Lord Attack,1. Nh3 e6 2. b4 Bxb4 3. Ng5 Qxg5 4. g4,g1h3 e7e6 b2b4 f8b4 h3g5 d8g5 g2g4,rnb1k1nr/pppp1ppp/4p3/6q1/1b4P1/8/P1PPPP1P/RNBQKB1R b - -,0-1
Joddle Attack,1. Nh3 e6 2. b4 Bxb4 3. Ng5 Qxg5 4. g3,g1h3 e7e6 b2b4 f8b4 h3g5 d8g5 g2g3,rnb1k1nr/pppp1ppp/4p3/6q1/1b6/6P1/P1PPPP1P/RNBQKB1R b - -,
Dragon-Lord Attack,1. Nh3 e6 2. Ng5 Qxg5 3. b4 Bxb4 4. g4,g1h3 e7e6 h3g5 d8g5 b2b4 f8b4 g2g4,rnb1k1nr/pppp1ppp/4p3/6q1/1b4P1/8/P1PPPP1P/RNBQKB1R b - -,0-1
Joddle Attack,1. Nh3 e6 2. Ng5 Qxg5 3. b4 Bxb4 4. g3,g1h3 e7e6 h3g5 d8g5 b2b4 f8b4 g2g3,rnb1k1nr/pppp1ppp/4p3/6q1/1b6/6P1/P1PPPP1P/RNBQKB1R b - -,
Andrejić's Proof,1. e3 Nc6 2. Ba6 bxa6 3. Qh5 Rb8 4. Qxh7,e2e3 b8c6 f1a6 b7a6 d1h5 a8b8 h5h7,1rbqkbnr/p1pppppQ/p1n5/8/8/4P3/PPPP1PPP/RNB1K1NR b - -,1-0
Andrejić's Proof,1. e3 b5 2. Bxb5 Ba6 3. Bxd7 Qxd7 4. Qe2,e2e3 b7b5 f1b5 c8a6 b5d7 d8d7 d1e2,rn2kbnr/p1pqpppp/b7/8/8/4P3/PPPPQPPP/RNB1K1NR b - -,1-0
Sjaak Gambit,1. e3 b5 2. Bxb5 Ba6 3. Bxd7 Qxd7 4. Ke2,e2e3 b7b5 f1b5 c8a6 b5d7 d8d7 e1e2,rn2kbnr/p1pqpppp/b7/8/8/4P3/PPPPKPPP/RNBQ2NR b - -,1-0
Knight Variation,1. e3 b5 2. Bxb5 Nh6 3. Bxd7 Kxd7 4. Nc3,e2e3 b7b5 f1b5 g8h6 b5d7 e8d7 b1c3,rnbq1b1r/p1pkpppp/7n/8/8/2N1P3/PPPP1PPP/R1BQK1NR b - -,1-0
Pawn Variation,1. e3 b5 2. Bxb5 Nh6 3. Bxd7 Kxd7 4. g4,e2e3 b7b5 f1b5 g8h6 b5d7 e8d7 g2g4,rnbq1b1r/p1pkpppp/7n/8/6P1/4P3/PPPP1P1P/RNBQK1NR b - -,1-0
Queen Variation,1. e3 b5 2. Bxb5 Nh6 3. Bxd7 Bxd7 4. Qh5,e2e3 b7b5 f1b5 g8h6 b5d7 c8d7 d1h5,rn1qkb1r/p1pbpppp/7n/7Q/8/4P3/PPPP1PPP/RNB1K1NR b - -,1-0
Sjaak Attack,1. e3 b5 2. Bxb5 Nh6 3. Bxd7 Bxd7 4. h3,e2e3 b7b5 f1b5 g8h6 b5d7 c8d7 h2h3,rn1qkb1r/p1pbpppp/7n/8/8/4P2P/PPPP1PP1/RNBQK1NR b - -,1-0
Watkins Attack,1. e3 b5 2. Bxb5 Nh6 3. Bxd7 Nxd7 4. e4,e2e3 b7b5 f1b5 g8h6 b5d7 b8d7 e3e4,r1bqkb1r/p1pnpppp/7n/8/4P3/8/PPPP1PPP/RNBQK1NR b - -,1-0
Bosman Attack,1. e3 b5 2. Bxb5 Nh6 3. Bxd7 Nxd7 4. c4,e2e3 b7b5 f1b5 g8h6 b5d7 b8d7 c2c4,r1bqkb1r/p1pnpppp/7n/8/2P5/4P3/PP1P1PPP/RNBQK1NR b - -,1-0
Knight Attack,1. e3 b5 2. Bxb5 e6 3. Bxd7 Bxd7 4. Nh3,e2e3 b7b5 f1b5 e7e6 b5d7 c8d7 g1h3,rn1qkbnr/p1pb1ppp/4p3/8/8/4P2N/PPPP1PPP/RNBQK2R b - -,1-0
Double Pawn Attack,1. e3 b5 2. Bxb5 e6 3. Bxd7 Bxd7 4. Na3,e2e3 b7b5 f1b5 e7e6 b5d7 c8d7 b1a3,rn1qkbnr/p1pb1ppp/4p3/8/8/N3P3/PPPP1PPP/R1BQK1NR b - -,1-0
Goldovski Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. c3,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 c2c3,r1bqk1nr/pppp1ppp/n3p3/8/1b6/2P1P3/P2P1PPP/RNBQK1NR b - -,
Stockfish Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qe2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1e2,r1bqk1nr/pppp1ppp/n3p3/8/1b6/4P3/P1PPQPPP/RNB1K1NR b - -,0-1
Dutch Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. h4,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 h2h4,r1bqk1nr/pppp1ppp/n3p3/8/1b5P/4P3/P1PP1PP1/RNBQK1NR b - -,
Multani Attack,1. e3 e6 2. b4 Bxb4 3. Nh3 Bxd2 4. Nxd2,e2e3 e7e6 b2b4 f8b4 g1h3 b4d2 b1d2,rnbqk1nr/pppp1ppp/4p3/8/8/4P2N/P1PN1PPP/R1BQKB1R b - -,0-1
Nakshatra Attack,1. e3 e6 2. b4 Bxb4 3. Nh3 Bxd2 4. Bxd2,e2e3 e7e6 b2b4 f8b4 g1h3 b4d2 c1d2,rnbqk1nr/pppp1ppp/4p3/8/8/4P2N/P1PB1PPP/RN1QKB1R b - -,
Multani Attack,1. Nh3 e6 2. b4 Bxb4 3. e3 Bxd2 4. Nxd2,g1h3 e7e6 b2b4 f8b4 e2e3 b4d2 b1d2,rnbqk1nr/pppp1ppp/4p3/8/8/4P2N/P1PN1PPP/R1BQKB1R b - -,0-1
Nakshatra Attack,1. Nh3 e6 2. b4 Bxb4 3. e3 Bxd2 4. Bxd2,g1h3 e7e6 b2b4 f8b4 e2e3 b4d2 c1d2,rnbqk1nr/pppp1ppp/4p3/8/8/4P2N/P1PB1PPP/RN1QKB1R b - -,
Multani Attack,1. b4 e6 2. e3 Bxb4 3. Nh3 Bxd2 4. Nxd2,b2b4 e7e6 e2e3 f8b4 g1h3 b4d2 b1d2,rnbqk1nr/pppp1ppp/4p3/8/8/4P2N/P1PN1PPP/R1BQKB1R b - -,0-1
Andrejić's Proof,1. e3 e6 2. b4 Bxb4 3. Bc4 Bxd2 4. Bxe6,e2e3 e7e6 b2b4 f8b4 f1c4 b4d2 c4e6,rnbqk1nr/pppp1ppp/4B3/8/8/4P3/P1Pb1PPP/RNBQK1NR b - -,0-1
Nakshatra Attack,1. b4 e6 2. e3 Bxb4 3. Nh3 Bxd2 4. Bxd2,b2b4 e7e6 e2e3 f8b4 g1h3 b4d2 c1d2,rnbqk1nr/pppp1ppp/4p3/8/8/4P2N/P1PB1PPP/RN1QKB1R b - -,
Dipilato Attack,1. e3 e6 2. b4 Bxb4 3. Qg4 Bxd2 4. Qxg7,e2e3 e7e6 b2b4 f8b4 d1g4 b4d2 g4g7,rnbqk1nr/pppp1pQp/4p3/8/8/4P3/P1Pb1PPP/RNB1KBNR b - -,1-0
Dipilato Attack,1. b4 e6 2. e3 Bxb4 3. Qg4 Bxd2 4. Qxg7,b2b4 e7e6 e2e3 f8b4 d1g4 b4d2 g4g7,rnbqk1nr/pppp1pQp/4p3/8/8/4P3/P1Pb1PPP/RNB1KBNR b - -,1-0
Andrejić Variation,1. e3 c5 2. Bd3 a5 3. Bxh7 Rxh7 4. Qf3,e2e3 c7c5 f1d3 a7a5 d3h7 h8h7 d1f3,rnbqkbn1/1p1ppppr/8/p1p5/8/4PQ2/PPPP1PPP/RNB1K1NR b - -,0-1
Lajeunesse Attack,1. e3 c5 2. Bd3 a5 3. Bxh7 Rxh7 4. c3,e2e3 c7c5 f1d3 a7a5 d3h7 h8h7 c2c3,rnbqkbn1/1p1ppppr/8/p1p5/8/2P1P3/PP1P1PPP/RNBQK1NR b - -,
Andrejić's Proof,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. Qg4,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 d1g4,r1bqkbnr/pp1ppppp/n7/8/1p4Q1/4P3/P1PP1PPP/RNB1K1NR b - -,0-1
Italian Variation,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. g3,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 g2g3,r1bqkbnr/pp1ppppp/n7/8/1p6/4P1P1/P1PP1P1P/RNBQK1NR b - -,
Morrison Attack,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. Na3,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 b1a3,r1bqkbnr/pp1ppppp/n7/8/1p6/N3P3/P1PP1PPP/R1BQK1NR b - -,
Computer Attack,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. d3,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 d2d3,r1bqkbnr/pp1ppppp/n7/8/1p6/3PP3/P1P2PPP/RNBQK1NR b - -,
Andrejić's Proof,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. Qg4,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 d1g4,r1bqkbnr/pp1ppppp/n7/8/1p4Q1/4P3/P1PP1PPP/RNB1K1NR b - -,0-1
Italian Variation,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. g3,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 g2g3,r1bqkbnr/pp1ppppp/n7/8/1p6/4P1P1/P1PP1P1P/RNBQK1NR b - -,
Morrison Attack,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. Na3,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 b1a3,r1bqkbnr/pp1ppppp/n7/8/1p6/N3P3/P1PP1PPP/R1BQK1NR b - -,
Computer Attack,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. d3,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 d2d3,r1bqkbnr/pp1ppppp/n7/8/1p6/3PP3/P1P2PPP/RNBQK1NR b - -,
Watkins's Proof,1. e3 c5 2. Bb5 c4 3. Bxd7 Kxd7 4. b3,e2e3 c7c5 f1b5 c5c4 b5d7 e8d7 b2b3,rnbq1bnr/pp1kpppp/8/8/2p5/1P2P3/P1PP1PPP/RNBQK1NR b - -,1-0
Bela Palanka Attack,1. e3 b6 2. Qh5 c5 3. Qxf7 Kxf7 4. Bd3,e2e3 b7b6 d1h5 c7c5 h5f7 e8f7 f1d3,rnbq1bnr/p2ppkpp/1p6/2p5/8/3BP3/PPPP1PPP/RNB1K1NR b - -,
Old Dutch Game,1. e3 b6 2. Ba6 Nxa6 3. Qe2 Nc5 4. d3,e2e3 b7b6 f1a6 b8a6 d1e2 a6c5 d2d3,r1bqkbnr/p1pppppp/1p6/2n5/8/3PP3/PPP1QPPP/RNB1K1NR b - -,
Death Defence,1. e3 b5 2. Bxb5 e6 3. Bxd7 Bxd7 4. Nh3 Nh6,e2e3 b7b5 f1b5 e7e6 b5d7 c8d7 g1h3 g8h6,rn1qkb1r/p1pb1ppp/4p2n/8/8/4P2N/PPPP1PPP/RNBQK2R w - -,1-0
Brazilian Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qg4 Bxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1g4 b4d2,r1bqk1nr/pppp1ppp/n3p3/8/6Q1/4P3/P1Pb1PPP/RNB1K1NR w - -,
Jettison Defence,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. d3 b3,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 d2d3 b4b3,r1bqkbnr/pp1ppppp/n7/8/8/1p1PP3/P1P2PPP/RNBQK1NR w - -,1-0
Nilatac Defence,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. d3 Qc7,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 d2d3 d8c7,r1b1kbnr/ppqppppp/n7/8/1p6/3PP3/P1P2PPP/RNBQK1NR w - -,
Witches Defence,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. d3 Rb8,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 d2d3 a8b8,1rbqkbnr/pp1ppppp/n7/8/1p6/3PP3/P1P2PPP/RNBQK1NR w - -,
Jettison Defence,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. d3 b3,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 d2d3 b4b3,r1bqkbnr/pp1ppppp/n7/8/8/1p1PP3/P1P2PPP/RNBQK1NR w - -,1-0
Nilatac Defence,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. d3 Qc7,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 d2d3 d8c7,r1b1kbnr/ppqppppp/n7/8/1p6/3PP3/P1P2PPP/RNBQK1NR w - -,
Witches Defence,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. d3 Rb8,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 d2d3 a8b8,1rbqkbnr/pp1ppppp/n7/8/1p6/3PP3/P1P2PPP/RNBQK1NR w - -,
Steenhuis Variation,1. Na3 e6 2. b3 Bxa3 3. Bxa3 d6 4. Bxd6 Qxd6 5. Qc1,b1a3 e7e6 b2b3 f8a3 c1a3 d7d6 a3d6 d8d6 d1c1,rnb1k1nr/ppp2ppp/3qp3/8/8/1P6/P1PPPPPP/R1Q1KBNR b - -,0-1
Sports Variation,1. Nh3 g5 2. Nxg5 Bg7 3. Nxh7 Bxb2 4. Bxb2 Rxh7 5. Bd4,g1h3 g7g5 h3g5 f8g7 g5h7 g7b2 c1b2 h8h7 b2d4,rnbqk1n1/pppppp1r/8/8/3B4/8/P1PPPPPP/RN1QKB1R b - -,
Hervetlse Race,1. g3 c5 2. d4 cxd4 3. Qxd4 g5 4. Bxg5 Qa5 5. Qxh8,g2g3 c7c5 d2d4 c5d4 d1d4 g7g5 c1g5 d8a5 d4h8,rnb1kbnQ/pp1ppp1p/8/q5B1/8/6P1/PPP1PP1P/RN2KBNR b - -,
Watkins Race,1. e3 g5 2. Ba6 Nxa6 3. Qh5 Bg7 4. Qxh7 Bxb2 5. Qxh8,e2e3 g7g5 f1a6 b8a6 d1h5 f8g7 h5h7 g7b2 h7h8,r1bqk1nQ/pppppp2/n7/6p1/8/4P3/PbPP1PPP/RNB1K1NR b - -,1-0
Andrejić Attack,1. e3 g5 2. Ba6 Nxa6 3. Qh5 Bg7 4. Qxh7 Bxb2 5. Bxb2,e2e3 g7g5 f1a6 b8a6 d1h5 f8g7 h5h7 g7b2 c1b2,r1bqk1nr/pppppp1Q/n7/6p1/8/4P3/PBPP1PPP/RN2K1NR b - -,1-0
Minear Attack,1. e3 b5 2. Bxb5 e6 3. Bxd7 Bxd7 4. b4 Bxb4 5. a4,e2e3 b7b5 f1b5 e7e6 b5d7 c8d7 b2b4 f8b4 a2a4,rn1qk1nr/p1pb1ppp/4p3/8/Pb6/4P3/2PP1PPP/RNBQK1NR b - -,
Revolutionary Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qf3 Bxd2 5. Qxb7,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1f3 b4d2 f3b7,r1bqk1nr/pQpp1ppp/n3p3/8/8/4P3/P1Pb1PPP/RNB1K1NR b - -,0-1
American Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qf3 Bxd2 5. Kxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1f3 b4d2 e1d2,r1bqk1nr/pppp1ppp/n3p3/8/8/4PQ2/P1PK1PPP/RNB3NR b - -,0-1
Sordid Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qf3 Bxd2 5. Bxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1f3 b4d2 c1d2,r1bqk1nr/pppp1ppp/n3p3/8/8/4PQ2/P1PB1PPP/RN2K1NR b - -,0-1
Swedish Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qf3 Bxd2 5. Nxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1f3 b4d2 b1d2,r1bqk1nr/pppp1ppp/n3p3/8/8/4PQ2/P1PN1PPP/R1B1K1NR b - -,
Geerlings King Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qh5 Bxd2 5. Kxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1h5 b4d2 e1d2,r1bqk1nr/pppp1ppp/n3p3/7Q/8/4P3/P1PK1PPP/RNB3NR b - -,0-1
Geerlings Queen Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qh5 Bxd2 5. Qxf7,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1h5 b4d2 h5f7,r1bqk1nr/pppp1Qpp/n3p3/8/8/4P3/P1Pb1PPP/RNB1K1NR b - -,0-1
Geerlings Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qh5 Bxd2 5. Nxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1h5 b4d2 b1d2,r1bqk1nr/pppp1ppp/n3p3/7Q/8/4P3/P1PN1PPP/R1B1K1NR b - -,0-1
Super Loser Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qh5 Bxd2 5. Bxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1h5 b4d2 c1d2,r1bqk1nr/pppp1ppp/n3p3/7Q/8/4P3/P1PB1PPP/RN2K1NR b - -,
Brazilian Bishop Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qg4 Bxd2 5. Bxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1g4 b4d2 c1d2,r1bqk1nr/pppp1ppp/n3p3/8/6Q1/4P3/P1PB1PPP/RN2K1NR b - -,
Brazilian Knight Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qg4 Bxd2 5. Nxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1g4 b4d2 b1d2,r1bqk1nr/pppp1ppp/n3p3/8/6Q1/4P3/P1PN1PPP/R1B1K1NR b - -,
Moura Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qg4 Bxd2 5. Qxg7,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1g4 b4d2 g4g7,r1bqk1nr/pppp1pQp/n3p3/8/8/4P3/P1Pb1PPP/RNB1K1NR b - -,
Two Knights Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Nh3 Bxd2 5. Nxd2,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 g1h3 b4d2 b1d2,r1bqk1nr/pppp1ppp/n3p3/8/8/4P2N/P1PN1PPP/R1BQK2R b - -,
Rai Attack,1. e3 c5 2. Bd3 a5 3. Bxh7 Rxh7 4. Qh5 Rxh5 5. Kd1,e2e3 c7c5 f1d3 a7a5 d3h7 h8h7 d1h5 h7h5 e1d1,rnbqkbn1/1p1pppp1/8/p1p4r/8/4P3/PPPP1PPP/RNBK2NR b - -,
Nagorko Attack,1. e3 b6 2. Ba6 Nxa6 3. Qh5 c5 4. Qxh7 Rxh7 5. g3,e2e3 b7b6 f1a6 b8a6 d1h5 c7c5 h5h7 h8h7 g2g3,r1bqkbn1/p2ppppr/np6/2p5/8/4P1P1/PPPP1P1P/RNB1K1NR b - -,
King Attack,1. e3 b6 2. Ba6 Nxa6 3. Qh5 c5 4. Qxh7 Rxh7 5. Kd1,e2e3 b7b6 f1a6 b8a6 d1h5 c7c5 h5h7 h8h7 e1d1,r1bqkbn1/p2ppppr/np6/2p5/8/4P3/PPPP1PPP/RNBK2NR b - -,
Belgrade Attack,1. e3 b6 2. Ba6 Nxa6 3. Qh5 c5 4. Qxh7 Rxh7 5. h3,e2e3 b7b6 f1a6 b8a6 d1h5 c7c5 h5h7 h8h7 h2h3,r1bqkbn1/p2ppppr/np6/2p5/8/4P2P/PPPP1PP1/RNB1K1NR b - -,
Morrison Attack,1. e3 b6 2. Ba6 Nxa6 3. Qh5 c5 4. Qxh7 Rxh7 5. Kf1,e2e3 b7b6 f1a6 b8a6 d1h5 c7c5 h5h7 h8h7 e1f1,r1bqkbn1/p2ppppr/np6/2p5/8/4P3/PPPP1PPP/RNB2KNR b - -,
Andrejić's Proof,1. e3 b5 2. Bxb5 Ba6 3. Bxd7 Nxd7 4. d3 Bxd3 5. Qxd3 g6,e2e3 b7b5 f1b5 c8a6 b5d7 b8d7 d2d3 a6d3 d1d3 g7g6,r2qkbnr/p1pnpp1p/6p1/8/8/3QP3/PPP2PPP/RNB1K1NR w - -,1-0
