name,pgn,uci,epd,result
Steenhuis's Proof,1. c4 Nh6 2. a4,c2c4 g8h6 a2a4,rnbqkb1r/pppppppp/7n/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Wizard Hybrid,1. c4 e6 2. e3,c2c4 e7e6 e2e3,rnbqkbnr/pppp1ppp/4p3/8/2P5/4P3/PP1P1PPP/RNBQKBNR b - -,
Steenhuis's Proof,1. a4 h5 2. c4,a2a4 h7h5 c2c4,rnbqkbnr/ppppppp1/8/7p/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. a4 f6 2. c4,a2a4 f7f6 c2c4,rnbqkbnr/ppppp1pp/5p2/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. a4 h6 2. c4,a2a4 h7h6 c2c4,rnbqkbnr/ppppppp1/7p/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. a4 g5 2. c4,a2a4 g7g5 c2c4,rnbqkbnr/pppppp1p/8/6p1/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. a4 Nh6 2. c4,a2a4 g8h6 c2c4,rnbqkb1r/pppppppp/7n/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Central Wizard Attack,1. c4 e6 2. c5,c2c4 e7e6 c4c5,rnbqkbnr/pppp1ppp/4p3/2P5/8/8/PP1PPPPP/RNBQKBNR b - -,
Modest Opening,1. e3 e6 2. b3,e2e3 e7e6 b2b3,rnbqkbnr/pppp1ppp/4p3/8/8/1P2P3/P1PP1PPP/RNBQKBNR b - -,
Modest Opening,1. b3 e6 2. e3,b2b3 e7e6 e2e3,rnbqkbnr/pppp1ppp/4p3/8/8/1P2P3/P1PP1PPP/RNBQKBNR b - -,
Wing Opening,1. e3 e6 2. a4,e2e3 e7e6 a2a4,rnbqkbnr/pppp1ppp/4p3/8/P7/4P3/1PPP1PPP/RNBQKBNR b - -,
Wing Opening,1. a4 e6 2. e3,a2a4 e7e6 e2e3,rnbqkbnr/pppp1ppp/4p3/8/P7/4P3/1PPP1PPP/RNBQKBNR b - -,
Wizard Hybrid,1. e3 e6 2. c4,e2e3 e7e6 c2c4,rnbqkbnr/pppp1ppp/4p3/8/2P5/4P3/PP1P1PPP/RNBQKBNR b - -,
Watkins's Proof,1. e3 e6 2. b4,e2e3 e7e6 b2b4,rnbqkbnr/pppp1ppp/4p3/8/1P6/4P3/P1PP1PPP/RNBQKBNR b - -,1-0
Watkins's Proof,1. b4 e6 2. e3,b2b4 e7e6 e2e3,rnbqkbnr/pppp1ppp/4p3/8/1P6/4P3/P1PP1PPP/RNBQKBNR b - -,1-0
Rajesh Attack,1. e3 c5 2. Qf3,e2e3 c7c5 d1f3,rnbqkbnr/pp1ppppp/8/2p5/8/4PQ2/PPPP1PPP/RNB1KBNR b - -,
Pindakaas Attack,1. e3 c5 2. Bc4,e2e3 c7c5 f1c4,rnbqkbnr/pp1ppppp/8/2p5/2B5/4P3/PPPP1PPP/RNBQK1NR b - -,
Taelman Attack,1. e3 c5 2. Bd3,e2e3 c7c5 f1d3,rnbqkbnr/pp1ppppp/8/2p5/8/3BP3/PPPP1PPP/RNBQK1NR b - -,
Bishop Attack,1. e3 c5 2. Bb5,e2e3 c7c5 f1b5,rnbqkbnr/pp1ppppp/8/1Bp5/8/4P3/PPPP1PPP/RNBQK1NR b - -,1-0
Queen Attack,1. e3 b6 2. Qh5,e2e3 b7b6 d1h5,rnbqkbnr/p1pppppp/1p6/7Q/8/4P3/PPPP1PPP/RNB1KBNR b - -,
Wing System,1. e3 b6 2. a4,e2e3 b7b6 a2a4,rnbqkbnr/p1pppppp/1p6/8/P7/4P3/1PPP1PPP/RNBQKBNR b - -,1-0
Frâncu-Nye Proof,1. e3 c6 2. Bb5,e2e3 c7c6 f1b5,rnbqkbnr/pp1ppppp/2p5/1B6/8/4P3/PPPP1PPP/RNBQK1NR b - -,1-0
Steenhuis's Proof,1. e3 c6 2. e4,e2e3 c7c6 e3e4,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR b - -,1-0
Nye's Proof,1. b4 c5 2. bxc5 a5,b2b4 c7c5 b4c5 a7a5,rnbqkbnr/1p1ppppp/8/p1P5/8/8/P1PPPPPP/RNBQKBNR w - -,0-1
Andrejić's Proof,1. g4 g6 2. g5 c5,g2g4 g7g6 g4g5 c7c5,rnbqkbnr/pp1ppp1p/6p1/2p3P1/8/8/PPPPPP1P/RNBQKBNR w - -,0-1
Andrejić's Proof,1. g4 c5 2. g5 g6,g2g4 c7c5 g4g5 g7g6,rnbqkbnr/pp1ppp1p/6p1/2p3P1/8/8/PPPPPP1P/RNBQKBNR w - -,0-1
Steenhuis's Proof,1. g4 g6 2. b4 h5,g2g4 g7g6 b2b4 h7h5,rnbqkbnr/pppppp2/6p1/7p/1P4P1/8/P1PPPP1P/RNBQKBNR w - -,0-1
Steenhuis's Proof,1. b4 g6 2. g4 h5,b2b4 g7g6 g2g4 h7h5,rnbqkbnr/pppppp2/6p1/7p/1P4P1/8/P1PPPP1P/RNBQKBNR w - -,0-1
Fianchetto Defence,1. Nh3 g5 2. Nxg5 Bg7,g1h3 g7g5 h3g5 f8g7,rnbqk1nr/ppppppbp/8/6N1/8/8/PPPPPPPP/RNBQKB1R w - -,
Stayalive Defence,1. g3 c5 2. Nh3 g5,g2g3 c7c5 g1h3 g7g5,rnbqkbnr/pp1ppp1p/8/2p3p1/8/6PN/PPPPPP1P/RNBQKB1R w - -,
Stayalive Defence,1. Nh3 c5 2. g3 g5,g1h3 c7c5 g2g3 g7g5,rnbqkbnr/pp1ppp1p/8/2p3p1/8/6PN/PPPPPP1P/RNBQKB1R w - -,
Demon Defence,1. c4 b5 2. cxb5 d6,c2c4 b7b5 c4b5 d7d6,rnbqkbnr/p1p1pppp/3p4/1P6/8/8/PP1PPPPP/RNBQKBNR w - -,
Swiss Defence,1. c4 b5 2. cxb5 e6,c2c4 b7b5 c4b5 e7e6,rnbqkbnr/p1pp1ppp/4p3/1P6/8/8/PP1PPPPP/RNBQKBNR w - -,
Wizard Defence,1. e3 g5 2. Ba6 bxa6,e2e3 g7g5 f1a6 b7a6,rnbqkbnr/p1pppp1p/p7/6p1/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 a5,e2e3 b7b5 f1b5 a7a5,rnbqkbnr/2pppppp/8/pB6/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 Nf6,e2e3 b7b5 f1b5 g8f6,rnbqkb1r/p1pppppp/5n2/1B6/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 g6,e2e3 b7b5 f1b5 g7g6,rnbqkbnr/p1pppp1p/6p1/1B6/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 h6,e2e3 b7b5 f1b5 h7h6,rnbqkbnr/p1ppppp1/7p/1B6/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 f6,e2e3 b7b5 f1b5 f7f6,rnbqkbnr/p1ppp1pp/5p2/1B6/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 f5,e2e3 b7b5 f1b5 f7f5,rnbqkbnr/p1ppp1pp/8/1B3p2/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 h5,e2e3 b7b5 f1b5 h7h5,rnbqkbnr/p1ppppp1/8/1B5p/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 e5,e2e3 b7b5 f1b5 e7e5,rnbqkbnr/p1pp1ppp/8/1B2p3/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 g5,e2e3 b7b5 f1b5 g7g5,rnbqkbnr/p1pppp1p/8/1B4p1/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Taelman's Proof,1. e3 b5 2. Bxb5 c5,e2e3 b7b5 f1b5 c7c5,rnbqkbnr/p2ppppp/8/1Bp5/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Antique Defence,1. e3 b5 2. Bxb5 c6,e2e3 b7b5 f1b5 c7c6,rnbqkbnr/p2ppppp/2p5/1B6/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Suicide Defence,1. e3 b5 2. Bxb5 Bb7,e2e3 b7b5 f1b5 c8b7,rn1qkbnr/pbpppppp/8/1B6/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Knight Defence,1. e3 b5 2. Bxb5 Nh6,e2e3 b7b5 f1b5 g8h6,rnbqkb1r/p1pppppp/7n/1B6/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Pawn Defence,1. e3 b5 2. Bxb5 e6,e2e3 b7b5 f1b5 e7e6,rnbqkbnr/p1pp1ppp/4p3/1B6/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Double Pawn Defence,1. e3 e6 2. Ba6 bxa6,e2e3 e7e6 f1a6 b7a6,rnbqkbnr/p1pp1ppp/p3p3/8/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Classical Attack,1. e3 e6 2. Ba6 Nxa6,e2e3 e7e6 f1a6 b8a6,r1bqkbnr/pppp1ppp/n3p3/8/8/4P3/PPPP1PPP/RNBQK1NR w - -,
Roboamn Defence,1. e3 c5 2. Bc4 d5,e2e3 c7c5 f1c4 d7d5,rnbqkbnr/pp2pppp/8/2pp4/2B5/4P3/PPPP1PPP/RNBQK1NR w - -,
Snuverink Defence,1. e3 c5 2. Bd3 Nf6,e2e3 c7c5 f1d3 g8f6,rnbqkb1r/pp1ppppp/5n2/2p5/8/3BP3/PPPP1PPP/RNBQK1NR w - -,1-0
Bosman Defence,1. e3 c5 2. Bd3 g6,e2e3 c7c5 f1d3 g7g6,rnbqkbnr/pp1ppp1p/6p1/2p5/8/3BP3/PPPP1PPP/RNBQK1NR w - -,
Standard Defence,1. e3 c5 2. Bd3 h5,e2e3 c7c5 f1d3 h7h5,rnbqkbnr/pp1pppp1/8/2p4p/8/3BP3/PPPP1PPP/RNBQK1NR w - -,
Wing Defence,1. e3 c5 2. Bd3 a5,e2e3 c7c5 f1d3 a7a5,rnbqkbnr/1p1ppppp/8/p1p5/8/3BP3/PPPP1PPP/RNBQK1NR w - -,
Classical Polish Defence,1. e3 c5 2. Ba6 Nxa6,e2e3 c7c5 f1a6 b8a6,r1bqkbnr/pp1ppppp/n7/2p5/8/4P3/PPPP1PPP/RNBQK1NR w - -,
Chussi Defence,1. e3 c5 2. Bb5 g5,e2e3 c7c5 f1b5 g7g5,rnbqkbnr/pp1ppp1p/8/1Bp3p1/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Pindakaas Defence,1. e3 c5 2. Bb5 Qc7,e2e3 c7c5 f1b5 d8c7,rnb1kbnr/ppqppppp/8/1Bp5/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Czech Defence,1. e3 c5 2. Bb5 a5,e2e3 c7c5 f1b5 a7a5,rnbqkbnr/1p1ppppp/8/pBp5/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Morrison Defence,1. e3 c5 2. Bb5 Nh6,e2e3 c7c5 f1b5 g8h6,rnbqkb1r/pp1ppppp/7n/1Bp5/8/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Advance Variation,1. e3 c5 2. Bb5 c4,e2e3 c7c5 f1b5 c5c4,rnbqkbnr/pp1ppppp/8/1B6/2p5/4P3/PPPP1PPP/RNBQK1NR w - -,1-0
Kpa Defence,1. e3 b6 2. a4 e5,e2e3 b7b6 a2a4 e7e5,rnbqkbnr/p1pp1ppp/1p6/4p3/P7/4P3/1PPP1PPP/RNBQKBNR w - -,1-0
Kpa Defence,1. a4 b6 2. e3 e5,a2a4 b7b6 e2e3 e7e5,rnbqkbnr/p1pp1ppp/1p6/4p3/P7/4P3/1PPP1PPP/RNBQKBNR w - -,1-0
Kpa Defence,1. a4 e5 2. e3 b6,a2a4 e7e5 e2e3 b7b6,rnbqkbnr/p1pp1ppp/1p6/4p3/P7/4P3/1PPP1PPP/RNBQKBNR w - -,1-0
Sports Attack,1. Nh3 e6 2. b4 Bxb4 3. d3,g1h3 e7e6 b2b4 f8b4 d2d3,rnbqk1nr/pppp1ppp/4p3/8/1b6/3P3N/P1P1PPPP/RNBQKB1R b - -,
Stayalive Attack,1. Nh3 e6 2. b4 Bxb4 3. d4,g1h3 e7e6 b2b4 f8b4 d2d4,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/7N/P1P1PPPP/RNBQKB1R b - -,
